file_name,height,width,bbox,age,race,masked,skintone,emotion,gender
100013282_dup.jpg,1333,2000,"[934.0000000000097, 144.82228672769534, 238.24562254582438, 330.0662796338281]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
100016175_dup.jpg,1333,2000,"[1094.0513571635438, 422.91772295627203, 55.45378576262131, 71.31039238064413]",20-30s,Caucasian,unmasked,light,Neutral,Male
100104575_dup.jpg,1333,2000,"[1490.6909678848915, 676.0000000000097, 37.55392769189032, 70.33067590805737]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
100217868_dup.jpg,800,2000,"[1329.577459516453, 200.7328450789728, 271.1377231983618, 336.2548675681434]",20-30s,Caucasian,unmasked,light,Happiness,Male
100275687_dup.jpg,2000,1310,"[310.4518570655136, 123.34644926141398, 227.54814293448564, 309.4117080924674]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
100290547_dup.jpg,1333,2000,"[662.5619775593102, 231.8748722102204, 438.4008191602411, 590.1452600277313]",20-30s,Mongoloid,unmasked,mid-light,Neutral,Male
100332639_dup.jpg,1333,2000,"[732.7758706883175, 265.8532441686489, 81.32250507256815, 127.0489186104503]",20-30s,Caucasian,unmasked,light,Neutral,Male
100364120_dup.jpg,1224,2000,"[363.43122307698496, 356.87506273328296, 42.610125961608375, 68.00976947976747]",40-50s,Caucasian,unmasked,light,Neutral,Male
100542719_dup.jpg,1333,2000,"[1024.5584101208972, 477.5756224871853, 150.1094833687037, 167.79243560656693]",Kid,Caucasian,unmasked,mid-dark,Neutral,Male
100618366_dup.jpg,800,2000,"[1371.244676613429, 119.60742416228234, 141.03076778687984, 187.6986313588117]",20-30s,Caucasian,unmasked,mid-light,Anger,Male
100620073_dup.jpg,800,2000,"[1388.9999131545417, 110.32747838069076, 146.95845998293706, 228.61731537465664]",20-30s,Caucasian,unmasked,light,Surprise,Male
100736316_dup.jpg,1333,2000,"[1165.9303172284401, 304.28735407633536, 238.38526110221846, 274.38319927620046]",20-30s,Mongoloid,unmasked,mid-dark,Happiness,Male
100834752_dup.jpg,1333,2000,"[818.7598063447293, 222.88005281250113, 293.24019365527306, 419.488005281251]",Senior,Mongoloid,unmasked,light,Happiness,Male
100891652_dup.jpg,1333,2000,"[441.8929255829107, 275.8501727110615, 287.88307540428946, 282.416954518437]",20-30s,Caucasian,unmasked,mid-light,Neutral,Male
101093778_dup.jpg,1333,2000,"[816.5324867298261, 46.999999999999964, 306.71699254182727, 474.3739165490827]",Senior,Caucasian,unmasked,light,Anger,Male
101123852_dup.jpg,1333,2000,"[1037.1376799945401, 290.3548695746365, 142.22203992465037, 185.64513042536228]",20-30s,Caucasian,unmasked,light,Neutral,Male
10116354_dup.jpg,2000,1333,"[618.4479128593739, 323.6182978227273, 277.87216635938523, 392.3817021772736]",20-30s,Mongoloid,unmasked,light,Neutral,Male
101178068_dup.jpg,1333,2000,"[1140.698185368899, 169.93314995160716, 218.01934825762334, 289.27109196826535]",Senior,Caucasian,unmasked,mid-light,Happiness,Male
101224128_dup.jpg,1333,2000,"[1141.2416415065168, 669.9999999999901, 267.9646651038069, 201.17407941825175]",20-30s,Caucasian,unmasked,light,Neutral,Male
101237211_dup.jpg,1333,2000,"[810.7673414192843, 196.24728027405237, 241.10135450196563, 286.7651527588564]",20-30s,Caucasian,unmasked,light,Neutral,Male
101262866_dup.jpg,2000,1333,"[536.3038305206314, 310.236296968573, 243.4041331623532, 336.76370303142676]",20-30s,Mongoloid,unmasked,light,Neutral,Male
101346736_dup.jpg,1330,2000,"[1053.759628297167, 473.92051383301157, 125.02181009053095, 155.07948616697774]",Kid,Mongoloid,unmasked,light,Fear,Male
101405065_dup.jpg,1333,2000,"[1155.9999999999964, 139.99999999999898, 415.9992498124519, 571.8719512195098]",Senior,Mongoloid,unmasked,light,Happiness,Male
101405634_dup.jpg,1333,2000,"[1190.7607702222306, 299.43660646409404, 223.48354593132902, 291.69029789063217]",40-50s,Mongoloid,unmasked,light,Neutral,Male
10142697_dup.jpg,1333,2000,"[888.001750437607, 159.99999999999892, 290.99999999999903, 377.9999999999979]",20-30s,Mongoloid,unmasked,light,Happiness,Male
